fold,method,label,precision,recall,f1,macro_f1,micro_f1
0,llm_few_shot,toxic,0.1080180823221508,0.9478079331941544,0.1939342161469457,0.1747090991159881,0.1692878600459445
0,llm_few_shot,severe_toxic,0.0252100840336134,0.96,0.0491299897645854,0.1747090991159881,0.1692878600459445
0,llm_few_shot,obscene,0.3419117647058823,0.7018867924528301,0.4598269468479604,0.1747090991159881,0.1692878600459445
0,llm_few_shot,threat,0.013550135501355,1.0,0.0267379679144385,0.1747090991159881,0.1692878600459445
0,llm_few_shot,insult,0.1186991869918699,0.8866396761133604,0.2093690248565965,0.1747090991159881,0.1692878600459445
0,llm_few_shot,identity_hate,0.0585365853658536,0.8181818181818182,0.1092564491654021,0.1747090991159881,0.1692878600459445
1,llm_few_shot,toxic,0.1101112952877101,0.9707724425887264,0.1977881752445767,0.1784901194488603,0.1726694915254237
1,llm_few_shot,severe_toxic,0.0256684491978609,0.96,0.05,0.1784901194488603,0.1726694915254237
1,llm_few_shot,obscene,0.3548387096774194,0.7471698113207547,0.4811664641555285,0.1784901194488603,0.1726694915254237
1,llm_few_shot,threat,0.0133570792520035,1.0,0.0263620386643233,0.1784901194488603,0.1726694915254237
1,llm_few_shot,insult,0.1167294244217321,0.8785425101214575,0.2060778727445394,0.1784901194488603,0.1726694915254237
1,llm_few_shot,identity_hate,0.0588235294117647,0.7954545454545454,0.109546165884194,0.1784901194488603,0.1726694915254237
2,llm_few_shot,toxic,0.1097908745247148,0.964509394572025,0.1971410283763601,0.1745133450408822,0.1710549258936355
2,llm_few_shot,severe_toxic,0.0252764612954186,0.96,0.0492560287326834,0.1745133450408822,0.1710549258936355
2,llm_few_shot,obscene,0.338409475465313,0.7575757575757576,0.4678362573099415,0.1745133450408822,0.1710549258936355
2,llm_few_shot,threat,0.0112554112554112,0.8666666666666667,0.0222222222222222,0.1745133450408822,0.1710549258936355
2,llm_few_shot,insult,0.118706942236354,0.9105691056910568,0.2100328176277543,0.1745133450408822,0.1710549258936355
2,llm_few_shot,identity_hate,0.0537974683544303,0.7727272727272727,0.1005917159763313,0.1745133450408822,0.1710549258936355
3,llm_few_shot,toxic,0.1087526830431671,0.9519832985386222,0.1952054794520548,0.1741317060650704,0.1698428031966277
3,llm_few_shot,severe_toxic,0.0250391236306729,0.96,0.0488052872394509,0.1741317060650704,0.1698428031966277
3,llm_few_shot,obscene,0.3333333333333333,0.720754716981132,0.4558472553699284,0.1741317060650704,0.1698428031966277
3,llm_few_shot,threat,0.0123348017621145,0.9333333333333332,0.0243478260869565,0.1741317060650704,0.1698428031966277
3,llm_few_shot,insult,0.1197411003236245,0.8987854251012146,0.2113279390766301,0.1741317060650704,0.1698428031966277
3,llm_few_shot,identity_hate,0.0585365853658536,0.8181818181818182,0.1092564491654021,0.1741317060650704,0.1698428031966277
4,llm_few_shot,toxic,0.1085289889793962,0.94375,0.1946712505371723,0.1745460676329884,0.1697377746279234
4,llm_few_shot,severe_toxic,0.0224598930481283,0.84,0.04375,0.1745460676329884,0.1697377746279234
4,llm_few_shot,obscene,0.3403880070546737,0.7283018867924528,0.4639423076923077,0.1745460676329884,0.1697377746279234
4,llm_few_shot,threat,0.0133809099018733,1.0,0.0264084507042253,0.1745460676329884,0.1697377746279234
4,llm_few_shot,insult,0.1196721311475409,0.8866396761133604,0.2108810784785748,0.1745460676329884,0.1697377746279234
4,llm_few_shot,identity_hate,0.0576,0.8181818181818182,0.1076233183856502,0.1745460676329884,0.1697377746279234
