fold,method,label,precision,recall,f1,macro_f1,micro_f1
0,bert,toxic,0.8237704918032787,0.8392484342379958,0.8314374353671148,0.4012372551826442,0.7667638483965015
0,bert,severe_toxic,0.0,0.0,0.0,0.4012372551826442,0.7667638483965015
0,bert,obscene,0.9035087719298246,0.7773584905660378,0.8356997971602435,0.4012372551826442,0.7667638483965015
0,bert,threat,0.0,0.0,0.0,0.4012372551826442,0.7667638483965015
0,bert,insult,0.7479338842975206,0.7327935222672065,0.7402862985685071,0.4012372551826442,0.7667638483965015
0,bert,identity_hate,0.0,0.0,0.0,0.4012372551826442,0.7667638483965015
1,bert,toxic,0.8251599147121536,0.8079331941544885,0.8164556962025317,0.4662984980153814,0.7680680207841285
1,bert,severe_toxic,0.4782608695652174,0.22,0.3013698630136986,0.4662984980153814,0.7680680207841285
1,bert,obscene,0.8272058823529411,0.8490566037735849,0.8379888268156425,0.4662984980153814,0.7680680207841285
1,bert,threat,0.0,0.0,0.0,0.4662984980153814,0.7680680207841285
1,bert,insult,0.749003984063745,0.7611336032388664,0.7550200803212851,0.4662984980153814,0.7680680207841285
1,bert,identity_hate,1.0,0.045454545454545456,0.08695652173913043,0.4662984980153814,0.7680680207841285
2,bert,toxic,0.7933194154488518,0.7933194154488518,0.7933194154488518,0.44306121459066317,0.7566793893129771
2,bert,severe_toxic,0.5625,0.18,0.2727272727272727,0.44306121459066317,0.7566793893129771
2,bert,obscene,0.8494208494208494,0.8333333333333334,0.8413001912045889,0.44306121459066317,0.7566793893129771
2,bert,threat,0.0,0.0,0.0,0.44306121459066317,0.7566793893129771
2,bert,insult,0.7540983606557377,0.7479674796747967,0.7510204081632653,0.44306121459066317,0.7566793893129771
2,bert,identity_hate,0.0,0.0,0.0,0.44306121459066317,0.7566793893129771
3,bert,toxic,0.8126232741617357,0.860125260960334,0.8356997971602435,0.41644624822075643,0.7662582469368521
3,bert,severe_toxic,0.3,0.06,0.1,0.41644624822075643,0.7662582469368521
3,bert,obscene,0.8202247191011236,0.8264150943396227,0.8233082706766918,0.41644624822075643,0.7662582469368521
3,bert,threat,0.0,0.0,0.0,0.41644624822075643,0.7662582469368521
3,bert,insult,0.7552742616033755,0.7246963562753036,0.7396694214876033,0.41644624822075643,0.7662582469368521
3,bert,identity_hate,0.0,0.0,0.0,0.41644624822075643,0.7662582469368521
4,bert,toxic,0.8851674641148325,0.7708333333333334,0.8240534521158129,0.39471932548334215,0.7553735926305015
4,bert,severe_toxic,0.0,0.0,0.0,0.39471932548334215,0.7553735926305015
4,bert,obscene,0.8879668049792531,0.8075471698113208,0.8458498023715415,0.39471932548334215,0.7553735926305015
4,bert,threat,0.0,0.0,0.0,0.39471932548334215,0.7553735926305015
4,bert,insult,0.7938144329896907,0.6234817813765182,0.6984126984126984,0.39471932548334215,0.7553735926305015
4,bert,identity_hate,0.0,0.0,0.0,0.39471932548334215,0.7553735926305015
