fold,method,label,precision,recall,f1,macro_f1,micro_f1
0,llm_zero_shot,toxic,0.098367431287456,0.9937369519832986,0.1790146671681083,0.1384798763376288,0.1538461538461538
0,llm_zero_shot,severe_toxic,0.0311486048020765,0.96,0.0603394091766184,0.1384798763376288,0.1538461538461538
0,llm_zero_shot,obscene,0.1573107049608355,0.909433962264151,0.2682248191430161,0.1384798763376288,0.1538461538461538
0,llm_zero_shot,threat,0.0085526315789473,0.8666666666666667,0.0169381107491856,0.1384798763376288,0.1538461538461538
0,llm_zero_shot,insult,0.1474233529028049,0.9149797570850202,0.2539325842696629,0.1384798763376288,0.1538461538461538
0,llm_zero_shot,identity_hate,0.0269736842105263,0.9318181818181818,0.0524296675191815,0.1384798763376288,0.1538461538461538
1,llm_zero_shot,toxic,0.09756600660066,0.9874739039665972,0.1775858832363431,0.1404510959695392,0.1553018924601982
1,llm_zero_shot,severe_toxic,0.0329301075268817,0.98,0.0637191157347204,0.1404510959695392,0.1553018924601982
1,llm_zero_shot,obscene,0.1570751523358158,0.8754716981132076,0.2663605051664753,0.1404510959695392,0.1553018924601982
1,llm_zero_shot,threat,0.0102459016393442,1.0,0.0202839756592292,0.1404510959695392,0.1553018924601982
1,llm_zero_shot,insult,0.1504065040650406,0.8987854251012146,0.2576900754497969,0.1404510959695392,0.1553018924601982
1,llm_zero_shot,identity_hate,0.0293916609706083,0.9772727272727272,0.0570670205706702,0.1404510959695392,0.1553018924601982
2,llm_zero_shot,toxic,0.0980915247280935,0.9979123173277662,0.1786248131539611,0.1419549840503216,0.1568656940893367
2,llm_zero_shot,severe_toxic,0.0318212593094109,0.94,0.0615586116568434,0.1419549840503216,0.1568656940893367
2,llm_zero_shot,obscene,0.1616643929058663,0.8977272727272727,0.2739884393063583,0.1419549840503216,0.1568656940893367
2,llm_zero_shot,threat,0.0103021978021978,1.0,0.0203942895989123,0.1419549840503216,0.1568656940893367
2,llm_zero_shot,insult,0.1517006802721088,0.9065040650406504,0.2599067599067599,0.1419549840503216,0.1568656940893367
2,llm_zero_shot,identity_hate,0.0294924554183813,0.9772727272727272,0.0572569906790945,0.1419549840503216,0.1568656940893367
3,llm_zero_shot,toxic,0.0985303249844752,0.9937369519832986,0.1792843691148775,0.1415958087727509,0.156636438582028
3,llm_zero_shot,severe_toxic,0.0328638497652582,0.98,0.063595068137573,0.1415958087727509,0.156636438582028
3,llm_zero_shot,obscene,0.1616161616161616,0.9056603773584906,0.2742857142857143,0.1415958087727509,0.156636438582028
3,llm_zero_shot,threat,0.010183299389002,1.0,0.0201612903225806,0.1415958087727509,0.156636438582028
3,llm_zero_shot,insult,0.1497649429147078,0.902834008097166,0.2569124423963134,0.1415958087727509,0.156636438582028
3,llm_zero_shot,identity_hate,0.0284938941655359,0.9545454545454546,0.0553359683794466,0.1415958087727509,0.156636438582028
4,llm_zero_shot,toxic,0.0981481481481481,0.99375,0.1786516853932584,0.1409717871723584,0.1558077830188679
4,llm_zero_shot,severe_toxic,0.0327011118378024,1.0,0.0633312222925902,0.1409717871723584,0.1558077830188679
4,llm_zero_shot,obscene,0.159658344283837,0.9169811320754716,0.2719641857862339,0.1409717871723584,0.1558077830188679
4,llm_zero_shot,threat,0.009933774834437,1.0,0.0196721311475409,0.1409717871723584,0.1558077830188679
4,llm_zero_shot,insult,0.1490885416666666,0.9271255060728744,0.2568704430734717,0.1409717871723584,0.1558077830188679
4,llm_zero_shot,identity_hate,0.0284768211920529,0.9772727272727272,0.0553410553410553,0.1409717871723584,0.1558077830188679
